DATE,IBC_HEADLINE,IBC_AGRO,IBC_INDUSTRY,IBC_SERVICES,IBC_TAXES,IBC_EX_AGRO
2013-01-01,101.7,83.4,115.6,98.4,105.1,102.8
2013-02-01,100.8,83.5,113.4,97.7,102.6,101.7
2013-03-01,101.8,83.2,113.6,98.5,104.8,102.5
2013-04-01,102.8,84.4,116.5,99.1,104.7,103.5
2013-05-01,103.1,84.6,116.9,99.5,106.6,104.1
2013-06-01,102.8,83.3,118.0,99.3,105.0,103.9
2013-07-01,103.0,83.8,116.9,99.8,106.5,104.1
2013-08-01,103.4,84.1,117.2,99.8,106.4,104.4
2013-09-01,103.8,83.2,118.9,100.1,106.3,104.9
2013-10-01,103.9,85.1,117.8,100.4,107.1,104.9
2013-11-01,104.1,86.1,117.7,100.6,106.6,105.0
2013-12-01,104.5,83.7,116.3,101.5,107.6,105.5
2014-01-01,104.0,88.3,115.8,101.1,107.2,104.9
2014-02-01,103.8,86.4,115.7,100.7,106.2,104.7
2014-03-01,103.7,85.5,115.8,100.4,105.1,104.3
2014-04-01,103.2,84.8,114.7,100.4,105.9,104.1
2014-05-01,102.8,83.7,113.2,100.4,105.3,103.8
2014-06-01,100.7,82.1,109.9,99.2,101.6,101.8
2014-07-01,101.4,83.0,111.2,100.0,103.0,102.5
2014-08-01,102.3,83.1,112.0,100.3,104.1,103.3
2014-09-01,102.8,85.9,112.5,100.6,104.2,103.6
2014-10-01,102.1,85.8,111.0,100.3,103.1,102.9
2014-11-01,102.2,87.8,111.0,100.2,103.6,102.9
2014-12-01,102.7,89.3,110.8,100.8,103.6,103.3
2015-01-01,101.8,90.2,110.9,99.7,102.4,102.4
2015-02-01,101.1,90.2,109.9,98.9,100.6,101.6
2015-03-01,100.9,90.2,108.9,99.1,100.0,101.2
2015-04-01,99.7,88.9,107.0,98.4,98.4,100.2
2015-05-01,99.0,85.9,106.1,97.9,97.3,99.5
2015-06-01,97.9,86.4,103.6,97.3,96.2,98.5
2015-07-01,96.9,85.3,102.1,97.0,95.0,97.6
2015-08-01,97.4,85.7,103.7,96.8,94.4,98.0
2015-09-01,96.6,88.0,102.3,96.1,93.4,97.1
2015-10-01,97.2,88.5,102.5,96.8,94.5,97.7
2015-11-01,96.0,90.2,101.3,95.6,92.3,96.3
2015-12-01,95.7,89.5,101.2,95.3,91.6,96.0
2016-01-01,95.3,82.0,100.9,95.2,90.7,95.8
2016-02-01,95.2,82.4,100.7,95.1,91.3,95.9
2016-03-01,94.5,81.9,100.5,94.8,91.2,95.5
2016-04-01,94.4,83.3,101.7,94.4,89.8,95.3
2016-05-01,94.1,84.4,100.1,93.5,89.6,94.3
2016-06-01,94.4,84.9,100.3,94.1,89.7,94.8
2016-07-01,94.1,81.4,100.5,94.4,89.3,94.8
2016-08-01,93.8,87.5,98.6,93.8,88.6,94.1
2016-09-01,93.8,90.8,98.1,93.7,88.5,93.9
2016-10-01,93.6,89.6,97.8,93.3,88.6,93.6
2016-11-01,93.4,90.8,97.9,93.1,88.5,93.5
2016-12-01,93.2,89.4,97.7,92.9,88.2,93.3
2017-01-01,93.9,94.9,98.8,93.1,90.7,93.9
2017-02-01,95.1,100.2,99.5,93.3,90.8,94.4
2017-03-01,95.1,98.9,99.5,93.3,90.7,94.2
2017-04-01,94.9,95.9,98.6,93.6,91.3,94.5
2017-05-01,94.8,95.7,99.0,93.8,91.4,94.5
2017-06-01,95.3,92.2,99.6,94.5,92.3,95.4
2017-07-01,95.4,91.3,98.8,94.9,92.6,95.4
2017-08-01,95.1,95.2,99.4,94.2,92.8,95.2
2017-09-01,95.0,91.5,99.4,94.1,93.5,95.2
2017-10-01,95.3,88.2,100.4,94.5,93.5,95.5
2017-11-01,95.4,91.3,100.3,94.5,93.3,95.6
2017-12-01,96.9,96.2,102.1,95.4,95.5,97.0
2018-01-01,96.2,97.0,101.5,94.8,94.8,96.1
2018-02-01,95.9,93.8,100.5,94.6,94.6,96.1
2018-03-01,95.9,93.1,101.3,94.7,95.4,96.2
2018-04-01,96.5,94.3,102.6,95.3,95.9,96.9
2018-05-01,93.6,92.2,95.0,93.1,90.9,93.3
2018-06-01,96.2,99.1,99.7,95.0,93.5,95.9
2018-07-01,96.5,97.6,100.2,95.4,94.7,96.4
2018-08-01,97.3,99.3,100.1,96.3,96.4,97.2
2018-09-01,96.7,100.3,99.9,95.6,94.5,96.5
2018-10-01,97.0,102.6,100.7,95.4,94.7,96.3
2018-11-01,97.2,103.0,101.1,95.4,95.7,96.8
2018-12-01,97.6,100.5,101.1,95.9,96.1,97.3
2019-01-01,97.4,98.7,102.4,95.9,96.6,97.2
2019-02-01,96.7,97.1,100.3,95.8,95.8,96.8
2019-03-01,96.2,95.1,99.9,95.5,95.7,96.5
2019-04-01,96.2,96.3,99.9,95.7,96.1,96.8
2019-05-01,97.5,97.9,100.5,96.1,96.9,97.2
2019-06-01,97.0,96.5,99.7,95.9,96.0,96.8
2019-07-01,96.7,99.1,97.8,95.9,96.1,96.5
2019-08-01,96.9,98.0,99.1,96.0,96.5,96.9
2019-09-01,97.3,98.3,99.8,96.0,96.9,97.1
2019-10-01,98.5,102.2,101.0,96.8,97.7,97.6
2019-11-01,98.1,100.2,100.2,96.6,97.5,97.7
2019-12-01,97.8,98.7,99.9,96.2,97.9,97.5
2020-01-01,97.9,100.6,100.2,96.6,98.3,97.6
2020-02-01,98.1,99.6,101.0,96.7,98.7,98.0
2020-03-01,91.5,97.9,94.6,91.4,88.2,91.7
2020-04-01,83.2,97.1,79.6,85.1,75.3,82.9
2020-05-01,85.8,98.6,83.9,85.9,81.3,85.0
2020-06-01,89.6,99.9,90.9,88.7,87.5,89.0
2020-07-01,92.0,99.9,95.8,90.1,91.4,91.6
2020-08-01,93.7,98.5,98.3,91.4,94.9,93.4
2020-09-01,95.7,100.9,100.5,92.9,97.2,95.2
2020-10-01,97.5,102.0,101.8,94.4,98.5,96.4
2020-11-01,97.5,101.9,100.1,94.8,99.8,96.9
2020-12-01,97.7,103.6,102.8,94.7,99.4,97.1
2021-01-01,97.9,100.5,104.9,95.3,100.7,97.9
2021-02-01,98.9,104.6,103.2,95.7,101.3,98.2
2021-03-01,95.3,104.0,99.9,92.9,95.2,94.7
2021-04-01,96.5,103.5,99.0,94.3,97.2,95.9
2021-05-01,97.3,95.5,100.2,95.6,99.8,97.3
2021-06-01,96.8,93.3,98.8,96.1,98.6,97.0
2021-07-01,96.5,89.5,97.0,96.0,98.6,96.9
2021-08-01,97.1,96.8,99.2,96.1,98.1,97.2
2021-09-01,97.0,96.4,98.8,96.0,97.8,97.0
2021-10-01,97.4,99.9,96.9,96.7,98.2,96.9
2021-11-01,99.0,106.1,98.7,97.9,100.0,98.7
2021-12-01,99.1,107.7,99.7,98.2,99.4,98.8
2022-01-01,97.6,96.8,99.3,97.6,99.0,98.0
2022-02-01,98.6,97.2,99.0,98.1,98.1,98.2
2022-03-01,99.5,96.0,101.2,99.0,100.1,99.6
2022-04-01,99.7,94.3,100.7,98.9,100.0,99.5
2022-05-01,99.7,103.4,99.9,99.3,100.3,99.6
2022-06-01,99.6,104.6,99.6,99.6,99.1,99.4
2022-07-01,101.5,104.8,100.6,100.9,100.6,101.0
2022-08-01,101.1,105.3,100.0,101.4,100.7,101.0
2022-09-01,101.1,102.9,99.7,101.5,101.0,101.2
2022-10-01,101.3,103.6,100.9,101.4,100.9,101.2
2022-11-01,100.5,106.0,99.6,100.9,99.9,100.6
2022-12-01,100.2,104.1,99.6,100.9,100.0,100.2
2023-01-01,100.3,110.8,99.4,100.5,99.9,99.9
2023-02-01,103.3,125.1,101.1,101.2,101.3,101.1
2023-03-01,103.0,125.1,100.1,101.5,100.7,101.0
2023-04-01,104.4,125.5,100.6,101.9,102.4,101.8
2023-05-01,102.6,114.0,102.0,102.2,101.7,102.1
2023-06-01,102.4,110.3,101.7,102.4,101.8,102.1
2023-07-01,102.9,109.8,101.3,102.6,101.8,102.3
2023-08-01,102.5,108.3,100.1,103.0,102.2,102.3
2023-09-01,102.4,102.5,101.1,102.5,102.1,102.2
2023-10-01,102.7,108.1,101.5,102.5,101.8,102.3
2023-11-01,103.5,110.4,101.8,103.6,103.5,103.2
2023-12-01,104.4,109.8,104.3,104.4,105.4,104.2
2024-01-01,104.5,113.8,102.1,104.9,104.8,104.1
2024-02-01,105.0,111.8,102.2,105.3,105.2,104.5
2024-03-01,104.6,109.3,102.4,105.8,106.3,105.0
2024-04-01,105.4,111.2,102.3,105.7,105.4,104.9
2024-05-01,105.8,115.1,103.3,105.6,106.8,105.2
2024-06-01,106.7,116.5,104.2,106.5,108.1,106.1
2024-07-01,107.1,116.9,104.5,106.8,108.0,106.5
2024-08-01,107.2,115.0,104.5,107.1,108.3,106.7
2024-09-01,107.9,113.9,104.9,107.7,109.2,107.3
2024-10-01,108.0,121.3,104.3,107.7,109.2,107.2
2024-11-01,107.8,121.7,104.6,107.4,108.9,107.0
2024-12-01,106.8,121.7,104.3,106.5,107.9,105.9
2025-01-01,108.3,126.8,105.5,107.8,109.8,107.5
2025-02-01,109.0,133.7,104.8,108.1,109.1,107.5
2025-03-01,109.8,132.9,107.8,108.2,109.3,108.2
2025-04-01,110.3,131.6,106.4,108.7,109.7,108.4
2025-05-01,109.0,126.2,105.9,108.7,108.7,108.0
2025-06-01,108.8,123.8,105.8,108.7,108.5,107.9
2025-07-01,108.2,123.0,104.8,108.3,107.7,107.4
2025-08-01,108.7,120.7,105.6,108.6,108.4,107.9
